Integrated_Pathway,Gene,Source_Sub_Pathway
Cell Division in Inflammation,AURKB,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_NEGATIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,AURKC,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,BBS4,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,BCL2L1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,BECN1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,BIN3,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
Cell Division in Inflammation,BIRC5,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,BIRC6,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,BRCA2,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CALM1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CALM2,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CALM3,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CCP110,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CDC14A,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CDC14B,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CDC14C,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CDC25B,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CDC42,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CDC6,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CDCA8,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,CECR2,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
Cell Division in Inflammation,CENPA,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,CENPV,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CEP55,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CETN2,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CFL1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,CHMP1A,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP1B,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP2A,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP2B,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP3,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CHMP4A,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP4B,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP4BP1,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP4C,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_NEGATIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CHMP5,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP6,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CHMP7,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CIT,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CKAP2,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,CNTROB,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,CSPP1,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CUL3,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,CUL7,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,CXCR5,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,DCDC1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,DCTN3,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
Cell Division in Inflammation,DRD2,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,DRD3,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,E2F7,GOBP_CYTOKINESIS/GOBP_NEGATIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,E2F8,GOBP_CYTOKINESIS/GOBP_NEGATIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,ECT2,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINETIC_PROCESS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EFHC1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,ENTR1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,ESPL1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC2,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC3,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC4,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC5,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC6,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC6B,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC7,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINETIC_PROCESS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,EXOC8,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,FMN2,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MEIOTIC_CYTOKINESIS
Cell Division in Inflammation,FSD1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,GIPC1,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,GIT1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,IGF1R,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,INCENP,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,IQGAP1,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,IQGAP2,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,IQGAP3,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,IST1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
Cell Division in Inflammation,JTB,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,KIF13A,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,KIF14,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,KIF20A,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_REGULATION_OF_CYTOKINESIS/REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
Cell Division in Inflammation,KIF20B,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINETIC_PROCESS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,KIF23,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
Cell Division in Inflammation,KIF3B,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,KIF4A,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,KIF4B,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,KLHDC8B,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,KLHL13,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,KLHL21,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,KLHL9,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,LZTS2,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,MAP10,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,MAP9,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,MAU2,REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
Cell Division in Inflammation,MITD1,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,MRGPRX2,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,MYH10,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,MYH9,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS
Cell Division in Inflammation,MYO19,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,NIPBL,REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
Cell Division in Inflammation,NOX5,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
Cell Division in Inflammation,NUP62,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINETIC_PROCESS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,NUSAP1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,OPN1LW,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,OPN1MW,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,OPN1MW2,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,OR1A2,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,OR2A4,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,ORC4,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MEIOTIC_CYTOKINESIS
Cell Division in Inflammation,PDCD6IP,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,PDS5A,REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
Cell Division in Inflammation,PDS5B,REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
Cell Division in Inflammation,PDXP,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,PIK3C3,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,PIK3R4,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,PIN1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,PKN2,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,PKP4,GOBP_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,PLEC,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
Cell Division in Inflammation,PLK1,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
Cell Division in Inflammation,PLK3,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,POLDIP2,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
