Integrated_Pathway,Gene,Source_Sub_Pathway
Apoptosis Execution,CECR2,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CFLAR,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CIDEA,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CIDEB,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CIDEC,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,COL6A1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,COLEC11,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CYCS,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,DEDD2,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,DFFA,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,DFFB,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS / REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,DICER1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,DLC1,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,DNASE1L3,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,DNASE2,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,DNASE2B,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,ENDOG,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,ERN2,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,EXOG,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,FADD,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,FAP,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,FASLG,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,FOXL2,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,FZD3,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,GCG,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,GPER1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,H1-0,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,H1-1,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,H1-2,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,H1-3,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,H1-4,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,H1-5,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,HMGB1,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,HMGB2,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,HSF1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,HTR2A,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,HTRA2,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,IL6,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,KDM4A,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,KPNA1,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,KPNB1,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,MADD,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,MIR146A,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,MIR30B,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,NDUFA13,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,NFKBIZ,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,NMNAT1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,NPR2,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,PAK2,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,PLSCR1,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,PTGIS,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,RFFL,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,RIPK1,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,RNF34,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,SHARPIN,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,SIRT2,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,ST20,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,STK24,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,TAOK1,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,TNFRSF1A,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,TOP2A,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,TP53,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,TP53BP2,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,TRPC5,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,VPS54,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,XKR4,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,XKR5,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,XKR6,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,XKR7,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,XKR8,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,XKR9,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,ZC3H12A,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Autophagy-related Death,AKT1S1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,ATG101,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,ATG13,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,ATG14,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,BECN1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,DEPTOR,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,EPM2A,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN
Autophagy-related Death,MLST8,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,MTOR,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,NHLRC1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN
Autophagy-related Death,NRBF2,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,PIK3C3,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,PIK3R4,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2 / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,RB1CC1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,RPTOR,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,RUBCN,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2
Autophagy-related Death,RUBCNL,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2
Autophagy-related Death,TELO2,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,TTI1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,ULK1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1
Autophagy-related Death,UVRAG,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN / KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2
Autophagy-related Death,WDR45,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,WDR45B,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,WIPI1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,WIPI2,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Autophagy-related Death,ZFYVE1,KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1
Caspase Cascade,ADD1,REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS
Caspase Cascade,ADGB,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,APAF1,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE / REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES
Caspase Cascade,APPL1,REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND
Caspase Cascade,ATM,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES
Caspase Cascade,BCL2L10,GOMF_CASPASE_BINDING
Caspase Cascade,BFAR,GOMF_CASPASE_BINDING
Caspase Cascade,CAPN1,GOCC_CASPASE_COMPLEX / GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN10,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN11,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN12,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN13,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN14,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN15,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN2,GOCC_CASPASE_COMPLEX / GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN3,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN5,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN6,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN7,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN8,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPN9,GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPNS1,GOCC_CASPASE_COMPLEX / GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CAPNS2,GOCC_CASPASE_COMPLEX / GOMF_CALCIUM_DEPENDENT_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
Caspase Cascade,CARD16,GOMF_CASPASE_BINDING
Caspase Cascade,CARD17P,GOMF_CASPASE_BINDING
Caspase Cascade,CARD18,GOMF_CASPASE_BINDING
Caspase Cascade,CASP1,GOMF_CASPASE_BINDING / REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES
Caspase Cascade,CASP10,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES
Caspase Cascade,CASP2,GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES
